"ID","Sex","Grid","Year","julian","trial_id","Obs","docil","handlevent_year","Study","front","attack_rate","back","ln_attack_latency","ln_approach_latency","hole_rate","jump_rate","chew","still","hang","groom","walk","fecal","trial_life","trial_year"
1805,"M","KL","2009",180,NA,"SBS",9,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1805,"M","KL","2009",210,"62976.62977.2009.210","SBS",17,12,"RWT",-6.55117647058823,2.05882352941176,18.5532352941177,-0.655822242235529,-0.860040826776598,-1.44313725490196,-2.55686274509804,24.3952941176471,-13.4361764705882,20.6417647058824,-0.444705882352939,3.36617647058823,36,2,1
1805,"M","KL","2009",220,NA,"MNK",11,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1805,"M","KL","2009",222,NA,"MNK",13,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2434,"F","AG","2008",279,NA,"JD",11,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2434,"F","AG","2009",172,NA,"SEM",29,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2434,"F","AG","2009",180,NA,"SEM",12,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2434,"F","AG","2009",194,NA,"SEM",13,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2434,"F","AG","2009",221,NA,"BJD",10,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2435,"F","AG","2009",169,NA,"RWT",2,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2435,"F","AG","2009",180,NA,"SEM",5,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2435,"F","AG","2009",194,NA,"SEM",6,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2435,"F","AG","2009",212,NA,"SEM",7,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2435,"F","AG","2009",221,NA,"BJD",6,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2435,"F","AG","2010",85,NA,"DWA",15,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2435,"F","AG","2010",95,NA,"DSW",24,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2435,"F","AG","2010",102,NA,"DSW",15,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
